eventID,eventType,parentEventID,eventDate,locationID,locality,decimalLatitude,decimalLongitude,footprintWKT,geodeticDatum,waterBody,countryCode,minimumDepthInMeters,maximumDepthInMeters,samplingProtocol
PSZMP_20140507_KC,cruise,,2014-05-07T10:05:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140514_NIT,cruise,,2014-05-14T10:20:00-0700,,,47.162,-122.737,"POLYGON ((-122.6354 47.13843, -122.8355 47.17593, -122.8352 47.17678, -122.8307 47.18327, -122.6586 47.15243, -122.6377 47.14032, -122.6354 47.13843))",EPSG:4326,"South Sound, Salish Sea",US,0.0,122.0,
PSZMP_20140515_KWT,cruise,,2014-05-15T18:25:00-0700,,,48.436,-122.8,"LINESTRING (-122.8037 48.43457, -122.7961 48.43699)",EPSG:4326,"San Juan, Salish Sea",US,0.0,50.0,
PSZMP_20140516_KWT,cruise,,2014-05-16T18:20:00-0700,,,48.681,-123.043,"POLYGON ((-123.0481 48.67437, -123.0412 48.68303, -123.04 48.68448, -123.0481 48.67437))",EPSG:4326,"San Juan, Salish Sea",US,0.0,50.0,
PSZMP_20140516_PGST_WDFW,cruise,,2014-05-16T12:12:00-0700,,,47.893,-122.684,"LINESTRING (-122.733 47.78297, -122.636 48.00273)",EPSG:4326,"Admiralty Inlet, Salish Sea",US,0.0,110.0,
PSZMP_20140519_KC,cruise,,2014-05-19T09:35:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140520_KC,cruise,,2014-05-20T09:57:00-0700,,,47.478,-122.407,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140521_NOAA,cruise,,2014-05-21T10:50:00-0700,,,48.257,-122.544,POINT (-122.5442 48.25673),EPSG:4326,"Whidbey Basin, Salish Sea",US,0.0,55.0,
PSZMP_20140522_NOAA,cruise,,2014-05-22T14:23:00-0700,,,48.407,-122.567,"POLYGON ((-122.556 48.40463, -122.5783 48.40622, -122.5657 48.41155, -122.556 48.40463))",EPSG:4326,"Whidbey Basin, Salish Sea",US,0.0,36.0,
PSZMP_20140528_TUL,cruise,,2014-05-28T14:15:00-0700,,,48.065,-122.389,POINT (-122.3886 48.06469),EPSG:4326,"Whidbey Basin, Salish Sea",US,15.0,0.0,
PSZMP_20140529_PGST_WDFW,cruise,,2014-05-29T13:49:00-0700,,,47.893,-122.684,"LINESTRING (-122.733 47.78297, -122.636 48.00273)",EPSG:4326,"Admiralty Inlet, Salish Sea",US,0.0,110.0,
PSZMP_20140531_KWT,cruise,,2014-05-31T19:15:00-0700,,,48.436,-122.8,"LINESTRING (-122.8037 48.43457, -122.7961 48.43699)",EPSG:4326,"San Juan, Salish Sea",US,0.0,50.0,
PSZMP_20140601_KWT,cruise,,2014-06-01T19:20:00-0700,,,48.679,-123.044,"LINESTRING (-123.0481 48.67437, -123.04 48.68448)",EPSG:4326,"San Juan, Salish Sea",US,0.0,50.0,
PSZMP_20140603_KC,cruise,,2014-06-03T10:00:00-0700,,,47.478,-122.407,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140604_KC,cruise,,2014-06-04T09:26:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140605_NIT,cruise,,2014-06-05T10:22:00-0700,,,47.16,-122.729,"POLYGON ((-122.6354 47.13843, -122.8355 47.17593, -122.8352 47.17678, -122.8318 47.17997, -122.6586 47.15243, -122.6377 47.14032, -122.6354 47.13843))",EPSG:4326,"South Sound, Salish Sea",US,0.0,125.0,
PSZMP_20140606_NIT,cruise,,2014-06-06T13:15:00-0700,,,47.183,-122.831,POINT (-122.8307 47.18327),EPSG:4326,"South Sound, Salish Sea",US,0.0,46.0,
PSZMP_20140612_KWT,cruise,,2014-06-12T18:15:00-0700,,,48.436,-122.8,"LINESTRING (-122.8037 48.43457, -122.7961 48.43699)",EPSG:4326,"San Juan, Salish Sea",US,0.0,50.0,
PSZMP_20140617_KC,cruise,,2014-06-17T10:10:00-0700,,,47.546,-122.414,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4282 47.74396, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140617_KWT,cruise,,2014-06-17T19:10:00-0700,,,48.681,-123.043,"POLYGON ((-123.0481 48.67437, -123.0412 48.68303, -123.04 48.68448, -123.0481 48.67437))",EPSG:4326,"San Juan, Salish Sea",US,0.0,52.0,
PSZMP_20140619_NIT,cruise,,2014-06-19T09:25:00-0700,,,47.162,-122.737,"POLYGON ((-122.6354 47.13843, -122.8355 47.17593, -122.8352 47.17678, -122.8307 47.18327, -122.6586 47.15243, -122.6377 47.14032, -122.6354 47.13843))",EPSG:4326,"South Sound, Salish Sea",US,0.0,125.0,
PSZMP_20140619_NOAA,cruise,,2014-06-19T13:30:00-0700,,,48.407,-122.567,"POLYGON ((-122.556 48.40463, -122.5783 48.40622, -122.5657 48.41155, -122.556 48.40463))",EPSG:4326,"Whidbey Basin, Salish Sea",US,0.0,35.0,
PSZMP_20140624_NIT,cruise,,2014-06-24T09:51:00-0700,,,47.162,-122.737,"POLYGON ((-122.6354 47.13843, -122.8355 47.17593, -122.8352 47.17678, -122.8307 47.18327, -122.6586 47.15243, -122.6377 47.14032, -122.6354 47.13843))",EPSG:4326,"South Sound, Salish Sea",US,0.0,120.0,
PSZMP_20140625_PGST_WDFW,cruise,,2014-06-25T15:03:00-0700,,,47.783,-122.733,POINT (-122.733 47.78297),EPSG:4326,"Hood Canal, Salish Sea",US,0.0,100.0,
PSZMP_20140626_KWT,cruise,,2014-06-26T19:10:00-0700,,,48.436,-122.8,"LINESTRING (-122.8037 48.43457, -122.7961 48.43699)",EPSG:4326,"San Juan, Salish Sea",US,0.0,53.0,
PSZMP_20140627_KWT,cruise,,2014-06-27T18:55:00-0700,,,48.679,-123.045,"LINESTRING (-123.0481 48.67437, -123.0412 48.68303)",EPSG:4326,"San Juan, Salish Sea",US,0.0,44.0,
PSZMP_20140707_KC,cruise,,2014-07-07T10:05:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140708_KC,cruise,,2014-07-08T10:10:00-0700,,,47.478,-122.407,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140708_PGST_WDFW,cruise,,2014-07-08T12:30:00-0700,,,47.893,-122.684,"LINESTRING (-122.733 47.78297, -122.636 48.00273)",EPSG:4326,"Hood Canal, Salish Sea",US,0.0,110.0,
PSZMP_20140710_KWT,cruise,,2014-07-10T18:00:00-0700,,,48.436,-122.8,"LINESTRING (-122.8037 48.43457, -122.7961 48.43699)",EPSG:4326,"San Juan, Salish Sea",US,20.0,0.0,
PSZMP_20140711_KWT,cruise,,2014-07-11T18:35:00-0700,,,48.679,-123.044,"LINESTRING (-123.0481 48.67437, -123.04 48.68448)",EPSG:4326,"San Juan, Salish Sea",US,0.0,44.0,
PSZMP_20140714_NIT,cruise,,2014-07-14T10:04:00-0700,,,47.162,-122.737,"POLYGON ((-122.6354 47.13843, -122.8355 47.17593, -122.8352 47.17678, -122.8307 47.18327, -122.6586 47.15243, -122.6377 47.14032, -122.6354 47.13843))",EPSG:4326,"South Sound, Salish Sea",US,0.0,122.0,
PSZMP_20140715_TUL,cruise,,2014-07-15T12:36:00-0700,,,48.065,-122.39,POINT (-122.3905 48.06536),EPSG:4326,"Whidbey Basin, Salish Sea",US,30.0,0.0,
PSZMP_20140717_NOAA,cruise,,2014-07-17T10:40:00-0700,,,48.265,-122.549,"LINESTRING (-122.5529 48.27363, -122.5442 48.25673)",EPSG:4326,"Whidbey Basin, Salish Sea",US,0.0,84.0,
PSZMP_20140718_NOAA,cruise,,2014-07-18T11:30:00-0700,,,48.407,-122.567,"POLYGON ((-122.556 48.40463, -122.5783 48.40622, -122.5657 48.41155, -122.556 48.40463))",EPSG:4326,"Whidbey Basin, Salish Sea",US,0.0,40.0,
PSZMP_20140721_KC,cruise,,2014-07-21T09:45:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140722_KC,cruise,,2014-07-22T11:25:00-0700,,,47.478,-122.407,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140724_TUL,cruise,,2014-07-24T14:00:00-0700,,,47.956,-122.287,"LINESTRING (-122.2874 47.95509, -122.2873 47.95711)",EPSG:4326,"Whidbey Basin, Salish Sea",US,13.0,0.0,
PSZMP_20140725_PGST_WDFW,cruise,,2014-07-25T11:35:00-0700,,,47.893,-122.684,"LINESTRING (-122.733 47.78297, -122.636 48.00273)",EPSG:4326,"Admiralty Inlet, Salish Sea",US,0.0,110.0,
PSZMP_20140725_TUL,cruise,,2014-07-25T10:00:00-0700,,,48.065,-122.39,"LINESTRING (-122.3905 48.06536, -122.3886 48.06469)",EPSG:4326,"Whidbey Basin, Salish Sea",US,15.0,0.0,
PSZMP_20140726_KWT,cruise,,2014-07-26T17:55:00-0700,,,48.435,-122.804,POINT (-122.8037 48.43457),EPSG:4326,"San Juan, Salish Sea",US,0.0,44.0,
PSZMP_20140727_KWT,cruise,,2014-07-27T15:30:00-0700,,,48.681,-123.043,"POLYGON ((-123.0481 48.67437, -123.0412 48.68303, -123.04 48.68448, -123.0481 48.67437))",EPSG:4326,"San Juan, Salish Sea",US,0.0,44.0,
PSZMP_20140729_NIT,cruise,,2014-07-29T10:41:00-0700,,,47.158,-122.708,"POLYGON ((-122.6354 47.13843, -122.8307 47.18327, -122.6586 47.15243, -122.6377 47.14032, -122.6354 47.13843))",EPSG:4326,"South Sound, Salish Sea",US,0.0,130.0,
PSZMP_20140804_KC,cruise,,2014-08-04T11:40:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140805_KC,cruise,,2014-08-05T09:45:00-0700,,,47.478,-122.407,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140805_NIT,cruise,,2014-08-05T09:54:00-0700,,,47.144,-122.644,"POLYGON ((-122.6354 47.13843, -122.6367 47.13892, -122.6586 47.15243, -122.6377 47.14032, -122.6354 47.13843))",EPSG:4326,"South Sound, Salish Sea",US,0.0,122.0,
PSZMP_20140811_TUL,cruise,,2014-08-11T11:00:00-0700,,,48.007,-122.335,"POLYGON ((-122.2874 47.95509, -122.3905 48.06536, -122.3886 48.06469, -122.2873 47.95711, -122.2874 47.95509))",EPSG:4326,"Whidbey Basin, Salish Sea",US,15.0,0.0,
PSZMP_20140814_KWT,cruise,,2014-08-14T17:35:00-0700,,,48.435,-122.804,POINT (-122.8037 48.43457),EPSG:4326,"San Juan, Salish Sea",US,0.0,44.0,
PSZMP_20140815_KWT,cruise,,2014-08-15T19:31:00-0700,,,48.679,-123.044,"LINESTRING (-123.0481 48.67437, -123.04 48.68448)",EPSG:4326,"San Juan, Salish Sea",US,0.0,44.0,
PSZMP_20140815_PGST_WDFW,cruise,,2014-08-15T11:00:00-0700,,,47.893,-122.684,"LINESTRING (-122.733 47.78297, -122.636 48.00273)",EPSG:4326,"Admiralty Inlet, Salish Sea",US,0.0,115.0,
PSZMP_20140818_KC,cruise,,2014-08-18T09:30:00-0700,,,47.546,-122.414,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4282 47.74396, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140818_NOAA,cruise,,2014-08-18T11:05:00-0700,,,48.257,-122.544,POINT (-122.5442 48.25673),EPSG:4326,"Whidbey Basin, Salish Sea",US,0.0,80.0,
PSZMP_20140819_NOAA,cruise,,2014-08-19T10:49:00-0700,,,48.405,-122.567,"LINESTRING (-122.5783 48.40622, -122.556 48.40463)",EPSG:4326,"Whidbey Basin, Salish Sea",US,0.0,32.0,
PSZMP_20140820_NIT,cruise,,2014-08-20T09:40:00-0700,,,47.162,-122.737,"POLYGON ((-122.6354 47.13843, -122.8355 47.17593, -122.8352 47.17678, -122.8307 47.18327, -122.6586 47.15243, -122.6377 47.14032, -122.6354 47.13843))",EPSG:4326,"South Sound, Salish Sea",US,0.0,122.0,
PSZMP_20140821_TUL,cruise,,2014-08-21T11:23:00-0700,,,48.007,-122.335,"POLYGON ((-122.2874 47.95509, -122.3905 48.06536, -122.3886 48.06469, -122.2873 47.95711, -122.2874 47.95509))",EPSG:4326,"Whidbey Basin, Salish Sea",US,15.0,0.0,
PSZMP_20140829_PGST_WDFW,cruise,,2014-08-29T12:00:00-0700,,,47.893,-122.684,"LINESTRING (-122.733 47.78297, -122.636 48.00273)",EPSG:4326,"Hood Canal, Salish Sea",US,0.0,115.0,
PSZMP_20140830_KWT,cruise,,2014-08-30T17:20:00-0700,,,48.436,-122.8,"LINESTRING (-122.8037 48.43457, -122.7961 48.43699)",EPSG:4326,"San Juan, Salish Sea",US,0.0,42.0,
PSZMP_20140904_NIT,cruise,,2014-09-04T10:05:00-0700,,,47.162,-122.737,"POLYGON ((-122.6354 47.13843, -122.8355 47.17593, -122.8352 47.17678, -122.8307 47.18327, -122.6586 47.15243, -122.6377 47.14032, -122.6354 47.13843))",EPSG:4326,"South Sound, Salish Sea",US,0.0,180.0,
PSZMP_20140908_KC,cruise,,2014-09-08T09:40:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140909_KC,cruise,,2014-09-09T10:00:00-0700,,,47.478,-122.407,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,170.0,
PSZMP_20140911_KWT,cruise,,2014-09-11T17:47:00-0700,,,48.436,-122.8,"LINESTRING (-122.8037 48.43457, -122.7961 48.43699)",EPSG:4326,"San Juan, Salish Sea",US,0.0,44.0,
PSZMP_20140912_KWT,cruise,,2014-09-12T18:24:00-0700,,,48.681,-123.043,"POLYGON ((-123.0481 48.67437, -123.0412 48.68303, -123.04 48.68448, -123.0481 48.67437))",EPSG:4326,"San Juan, Salish Sea",US,0.0,44.0,
PSZMP_20140912_PGST_WDFW,cruise,,2014-09-12T10:50:00-0700,,,47.893,-122.684,"LINESTRING (-122.733 47.78297, -122.636 48.00273)",EPSG:4326,"Admiralty Inlet, Salish Sea",US,0.0,115.0,
PSZMP_20140917_NOAA,cruise,,2014-09-17T10:02:00-0700,,,48.265,-122.549,"LINESTRING (-122.5529 48.27363, -122.5442 48.25673)",EPSG:4326,"Whidbey Basin, Salish Sea",US,0.0,67.0,
PSZMP_20140918_NOAA,cruise,,2014-09-18T10:05:00-0700,,,48.407,-122.567,"POLYGON ((-122.556 48.40463, -122.5783 48.40622, -122.5657 48.41155, -122.556 48.40463))",EPSG:4326,"Whidbey Basin, Salish Sea",US,0.0,36.0,
PSZMP_20140919_TUL,cruise,,2014-09-19T10:46:00-0700,,,48.007,-122.335,"POLYGON ((-122.2874 47.95509, -122.3905 48.06536, -122.3886 48.06469, -122.2873 47.95711, -122.2874 47.95509))",EPSG:4326,"Whidbey Basin, Salish Sea",US,15.0,0.0,
PSZMP_20140922_KC,cruise,,2014-09-22T09:50:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140923_KC,cruise,,2014-09-23T10:02:00-0700,,,47.478,-122.407,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20140925_NIT,cruise,,2014-09-25T10:07:00-0700,,,47.162,-122.737,"POLYGON ((-122.6354 47.13843, -122.8355 47.17593, -122.8352 47.17678, -122.8307 47.18327, -122.6586 47.15243, -122.6377 47.14032, -122.6354 47.13843))",EPSG:4326,"South Sound, Salish Sea",US,0.0,150.0,
PSZMP_20141006_KC,cruise,,2014-10-06T09:45:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20141007_KC,cruise,,2014-10-07T10:15:00-0700,,,47.478,-122.407,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20141008_PGST_WDFW,cruise,,2014-10-08T12:04:00-0700,,,47.893,-122.684,"LINESTRING (-122.733 47.78297, -122.636 48.00273)",EPSG:4326,"Admiralty Inlet, Salish Sea",US,0.0,109.0,
PSZMP_20141020_KC,cruise,,2014-10-20T09:40:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20141021_KC,cruise,,2014-10-21T10:30:00-0700,,,47.478,-122.407,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20141030_TUL,cruise,,2014-10-30T09:49:00-0700,,,47.997,-122.332,"POLYGON ((-122.2874 47.95509, -122.3222 47.97166, -122.3886 48.06469, -122.2873 47.95711, -122.2874 47.95509))",EPSG:4326,"Whidbey Basin, Salish Sea",US,0.0,175.0,
PSZMP_20141103_KC,cruise,,2014-11-03T10:00:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20141104_KC,cruise,,2014-11-04T14:10:00-0700,,,47.359,-122.387,POINT (-122.3871 47.35862),EPSG:4326,"Central Basin, Salish Sea",US,0.0,170.0,
PSZMP_20141117_KC,cruise,,2014-11-17T10:45:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20141118_KC,cruise,,2014-11-18T10:15:00-0700,,,47.446,-122.41,"LINESTRING (-122.4333 47.53333, -122.3871 47.35862)",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20141202_TUL,cruise,,2014-12-02T11:11:00-0700,,,48.004,-122.339,"POLYGON ((-122.2874 47.95509, -122.3222 47.97166, -122.3956 48.06646, -122.3905 48.06536, -122.3886 48.06469, -122.2873 47.95711, -122.2874 47.95509))",EPSG:4326,"Whidbey Basin, Salish Sea",US,0.0,190.0,
PSZMP_20141215_KC,cruise,,2014-12-15T09:47:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20141216_KC,cruise,,2014-12-16T10:00:00-0700,,,47.446,-122.41,"LINESTRING (-122.4333 47.53333, -122.3871 47.35862)",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20150113_TUL,cruise,,2015-01-13T12:31:00-0700,,,48.002,-122.338,"POLYGON ((-122.2874 47.95509, -122.3222 47.97166, -122.3956 48.06646, -122.3905 48.06536, -122.2873 47.95711, -122.2874 47.95509))",EPSG:4326,"Whidbey Basin, Salish Sea",US,0.0,190.0,
PSZMP_20150120_KC,cruise,,2015-01-20T09:45:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20150121_KC,cruise,,2015-01-21T10:00:00-0700,,,47.446,-122.41,"LINESTRING (-122.4333 47.53333, -122.3871 47.35862)",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20150202_KC,cruise,,2015-02-02T08:52:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20150203_KC,cruise,,2015-02-03T10:04:00-0700,,,47.478,-122.407,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20150217_KC,cruise,,2015-02-17T09:55:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20150218_KC,cruise,,2015-02-18T10:18:00-0700,,,47.478,-122.407,"POLYGON ((-122.3871 47.35862, -122.4333 47.53333, -122.4012 47.54225, -122.3871 47.35862))",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20150302_KC,cruise,,2015-03-02T10:00:00-0700,,,47.744,-122.428,POINT (-122.4282 47.74396),EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20150310_PGST_WDFW,cruise,,2015-03-10T10:11:00-0700,,,47.921,-122.688,"POLYGON ((-122.733 47.78297, -122.7334 47.78343, -122.7348 47.794, -122.6872 47.99063, -122.6664 47.99915, -122.6374 48.00274, -122.636 48.00273, -122.733 47.78297))",EPSG:4326,"Admiralty Inlet, Salish Sea",US,0.0,120.0,
PSZMP_20150318_KC,cruise,,2015-03-18T10:45:00-0700,,,47.538,-122.417,"LINESTRING (-122.4333 47.53333, -122.4012 47.54225)",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20150318_LUM,cruise,,2015-03-18T13:36:00-0700,,,48.639,-122.579,"LINESTRING (-122.5896 48.6406, -122.5694 48.63795)",EPSG:4326,"Bellingham Bay, Salish Sea",US,0.0,40.0,
PSZMP_20150318_NIT,cruise,,2015-03-18T10:10:00-0700,,,47.162,-122.737,"POLYGON ((-122.6354 47.13843, -122.8355 47.17593, -122.8352 47.17678, -122.8307 47.18327, -122.6586 47.15243, -122.6377 47.14032, -122.6354 47.13843))",EPSG:4326,"South Sound, Salish Sea",US,0.0,122.0,
PSZMP_20150319_LUM,cruise,,2015-03-19T14:30:00-0700,,,48.644,-122.589,POINT (-122.5886 48.64352),EPSG:4326,"Bellingham Bay, Salish Sea",US,20.0,0.0,
PSZMP_20150320_TUL,cruise,,2015-03-20T09:51:00-0700,,,48.0,-122.335,"POLYGON ((-122.2874 47.95509, -122.3222 47.97166, -122.3873 48.05901, -122.3886 48.06469, -122.2873 47.95711, -122.2874 47.95509))",EPSG:4326,"Whidbey Basin, Salish Sea",US,0.0,200.0,
PSZMP_20150323_KC,cruise,,2015-03-23T09:30:00-0700,,,47.551,-122.408,"LINESTRING (-122.4282 47.74396, -122.3871 47.35862)",EPSG:4326,"Central Basin, Salish Sea",US,0.0,200.0,
PSZMP_20150327_PGST_WDFW,cruise,,2015-03-27T12:08:00-0700,,,47.893,-122.684,"LINESTRING (-122.733 47.78297, -122.636 48.00273)",EPSG:4326,"Admiralty Inlet, Salish Sea",US,0.0,120.0,
PSZMP_20150401_LUM,cruise,,2015-04-01T13:44:00-0700,,,48.634,-122.589,POINT (-122.589 48.63368),EPSG:4326,"Bellingham Bay, Salish Sea",US,30.0,0.0,
PSZMP_20150402_LUM,cruise,,2015-04-02T11:27:00-0700,,,48.639,-122.579,"LINESTRING (-122.5896 48.6406, -122.5694 48.63795)",EPSG:4326,"Bellingham Bay, Salish Sea",US,0.0,108.0,
PSZMP_20150404_KWT,cruise,,2015-04-04T16:35:00-0700,,,48.435,-122.804,POINT (-122.8037 48.43457),EPSG:4326,"San Juan, Salish Sea",US,0.0,40.0,
